seed,policy,episodes,recovered_inr,recovery_rate,revenue_capture_rate,wasted_attempts,attempts_per_episode,issuer_risk_exposure,guard_interventions,mean_time_to_recovery_h,correct_abandon_rate,premature_abandon_rate,mean_reward
0,static_schedule,1000,464520.54,0.3105,0.3189,1481,1.721,0,760,63.9,0.2987,0.7013,0.05131
1,static_schedule,1000,551555.77,0.3718,0.3857,1382,1.669,0,713,64.14,0.3198,0.6802,0.11391
2,static_schedule,1000,592158.33,0.3553,0.3965,1415,1.69,0,725,62.49,0.3117,0.6883,0.09795
0,static_with_switch,1000,791013.93,0.5472,0.5431,1527,1.95,0,408,52.14,0.3934,0.6066,0.28743
1,static_with_switch,1000,948350.82,0.6166,0.6633,1385,1.861,0,382,49.16,0.4351,0.5649,0.35885
2,static_with_switch,1000,901765.4,0.5853,0.6038,1425,1.878,0,402,48.05,0.4132,0.5868,0.32886
0,flat_dqn,1000,935769.73,0.6455,0.6425,1755,2.254,0,731,87.1,0.4531,0.5469,0.36714
1,flat_dqn,1000,1058152.6,0.7189,0.74,1586,2.141,0,665,83.22,0.5124,0.4876,0.44468
2,flat_dqn,1000,1086754.7,0.6796,0.7276,1606,2.132,0,672,80.43,0.4768,0.5232,0.4074
0,bdq,1000,982888.26,0.6908,0.6749,1576,2.11,0,683,64.2,0.4871,0.5129,0.42434
1,bdq,1000,1090012.31,0.7085,0.7623,1509,2.056,0,658,57.81,0.5033,0.4967,0.44354
2,bdq,1000,1035521.6,0.6654,0.6933,1549,2.064,0,673,55.1,0.466,0.534,0.40192
