family,train_seed,eval_seed,policy,episodes,recovered_inr,recovery_rate,revenue_capture_rate,wasted_attempts,attempts_per_episode,issuer_risk_exposure,guard_interventions,mean_time_to_recovery_h,correct_abandon_rate,premature_abandon_rate,mean_reward
static_schedule,,0,static_schedule,1000,464520.54,0.3105,0.3189,1481,1.721,0,760,63.9,0.2987,0.7013,0.05131
static_schedule,,1,static_schedule,1000,551555.77,0.3718,0.3857,1382,1.669,0,713,64.14,0.3198,0.6802,0.11391
static_schedule,,2,static_schedule,1000,592158.33,0.3553,0.3965,1415,1.69,0,725,62.49,0.3117,0.6883,0.09795
static_with_switch,,0,static_with_switch,1000,791013.93,0.5472,0.5431,1527,1.95,0,408,52.14,0.3934,0.6066,0.28743
static_with_switch,,1,static_with_switch,1000,948350.82,0.6166,0.6633,1385,1.861,0,382,49.16,0.4351,0.5649,0.35885
static_with_switch,,2,static_with_switch,1000,901765.4,0.5853,0.6038,1425,1.878,0,402,48.05,0.4132,0.5868,0.32886
flat_dqn,0.0,0,flat_dqn,1000,950009.06,0.6624,0.6523,1827,2.339,0,945,49.55,0.4652,0.5348,0.39279
flat_dqn,0.0,1,flat_dqn,1000,977114.32,0.6904,0.6834,1701,2.234,0,882,47.09,0.4882,0.5118,0.42361
flat_dqn,0.0,2,flat_dqn,1000,1023793.54,0.6654,0.6855,1762,2.277,0,921,44.62,0.466,0.534,0.39974
flat_dqn,1.0,0,flat_dqn,1000,974985.14,0.7012,0.6694,1792,2.334,0,769,45.91,0.4956,0.5044,0.43446
flat_dqn,1.0,1,flat_dqn,1000,1040631.65,0.728,0.7278,1670,2.232,0,747,37.34,0.5205,0.4795,0.46321
flat_dqn,1.0,2,flat_dqn,1000,1082003.99,0.7093,0.7244,1750,2.299,0,779,39.75,0.5011,0.4989,0.44563
flat_dqn,2.0,0,flat_dqn,1000,966622.29,0.6792,0.6637,1829,2.354,0,741,62.39,0.4779,0.5221,0.40976
flat_dqn,2.0,1,flat_dqn,1000,963111.53,0.6904,0.6736,1672,2.205,0,695,54.88,0.4882,0.5118,0.4253
flat_dqn,2.0,2,flat_dqn,1000,1054138.1,0.6731,0.7058,1758,2.279,0,727,57.55,0.4718,0.5282,0.40675
bdq,0.0,0,bdq,1000,964629.59,0.6649,0.6623,1689,2.203,0,765,64.62,0.4671,0.5329,0.39498
bdq,0.0,1,bdq,1000,925368.48,0.6749,0.6472,1565,2.086,0,734,57.64,0.476,0.524,0.40846
bdq,0.0,2,bdq,1000,980249.05,0.6512,0.6563,1645,2.149,0,756,55.66,0.4556,0.5444,0.38447
bdq,1.0,0,bdq,1000,1001782.8,0.705,0.6878,1461,2.006,0,547,75.52,0.4989,0.5011,0.4365
bdq,1.0,1,bdq,1000,1028120.36,0.7124,0.719,1383,1.933,0,525,71.4,0.5067,0.4933,0.446
bdq,1.0,2,bdq,1000,1100253.88,0.7145,0.7367,1407,1.96,0,537,73.27,0.5056,0.4944,0.44903
bdq,2.0,0,bdq,1000,978405.29,0.6869,0.6718,1680,2.211,0,712,69.45,0.484,0.516,0.41603
bdq,2.0,1,bdq,1000,1056484.2,0.7293,0.7389,1539,2.102,0,630,65.37,0.5217,0.4783,0.46138
bdq,2.0,2,bdq,1000,1106273.38,0.7016,0.7407,1579,2.122,0,674,66.15,0.4945,0.5055,0.43525
